
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008596                       # Number of seconds simulated (Second)
simTicks                                   8596048750                       # Number of ticks simulated (Tick)
finalTick                                  8596048750                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    595.37                       # Real time elapsed on the host (Second)
hostTickRate                                 14438061                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     691008                       # Number of bytes of host memory used (Byte)
simInsts                                     11223673                       # Number of instructions simulated (Count)
simOps                                       22373695                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    18851                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      37579                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         34384196                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.063542                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.326420                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22731587                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       30573375                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  32469                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               357890                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            589341                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            34314474                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.890976                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.800113                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  24931470     72.66%     72.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2966578      8.65%     81.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1017409      2.96%     84.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1083755      3.16%     87.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1624064      4.73%     92.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1218580      3.55%     95.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    843350      2.46%     98.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    362686      1.06%     99.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    266582      0.78%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              34314474                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  100827      3.58%      3.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      3.58% # attempts to use FU when none available (Count)
